OCCUR_DATE,year,month,year_month,time_bucket,BORO,PRECINCT,STATISTICAL_MURDER_FLAG,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,JURISDICTION_CODE,Latitude,Longitude,Times Square Latitude,Times Square Longitude,Grand Central Latitude,Grand Central Longitude,Times Square Distance,Grand Central Distance
2021-08-09,2021,8,2021-08,12:01am - 6:00am,BRONX,40,No,18-24,M,BLACK,0.0,40.80967347200004,-73.92019278899994,40.758896,-73.98513,40.752655,-73.977295,7.861927587610886,7.95947267777492
2018-04-07,2018,4,2018-04,6:01pm - 12:00am,BROOKLYN,79,Yes,25-44,M,BLACK,0.0,40.685609672000055,-73.94291302299996,40.758896,-73.98513,40.752655,-73.977295,8.894627633172883,8.000920472381257
2022-12-02,2022,12,2022-12,6:01pm - 12:00am,BRONX,47,No,25-44,M,BLACK,0.0,40.872349,-73.868233,40.758896,-73.98513,40.752655,-73.977295,16.002586117691077,16.172424067292198
2010-05-09,2010,5,2010-05,12:01am - 6:00am,BRONX,46,Yes,<18,F,BLACK,0.0,40.84598358900007,-73.90746098599993,40.758896,-73.98513,40.752655,-73.977295,11.687525040899622,11.930603138632604
2012-07-22,2012,7,2012-07,6:01pm - 12:00am,BRONX,42,No,18-24,M,BLACK,2.0,40.82487781900005,-73.90317908399999,40.758896,-73.98513,40.752655,-73.977295,10.074168467583258,10.173130261552405
2011-07-12,2011,7,2011-07,6:01pm - 12:00am,BROOKLYN,71,Yes,25-44,M,BLACK,0.0,40.65575638400002,-73.96080480099994,40.758896,-73.98513,40.752655,-73.977295,11.654107625731829,10.867340608611972
2012-07-14,2012,7,2012-07,6:01pm - 12:00am,BROOKLYN,69,No,25-44,M,WHITE HISPANIC,2.0,40.65290101400007,-73.89402764099998,40.758896,-73.98513,40.752655,-73.977295,14.071541992444601,13.130608305070167
2015-04-21,2015,4,2015-04,12:01pm - 6:00pm,BROOKLYN,75,No,25-44,M,BLACK,0.0,40.66679461900002,-73.89651148199994,40.758896,-73.98513,40.752655,-73.977295,12.679571368339545,11.73030673076254
2016-05-07,2016,5,2016-05,12:01pm - 6:00pm,BROOKLYN,69,No,18-24,M,BLACK,0.0,40.64000860200008,-73.90193284499996,40.758896,-73.98513,40.752655,-73.977295,14.969685025728703,14.049315893450661
2010-01-10,2010,1,2010-01,12:01am - 6:00am,BRONX,42,No,18-24,M,BLACK,2.0,40.83665363500006,-73.90714487499997,40.758896,-73.98513,40.752655,-73.977295,10.859322792688609,11.053908304750319
2011-06-24,2011,6,2011-06,12:01am - 6:00am,BRONX,47,Yes,25-44,M,BLACK,0.0,40.88594708000005,-73.85981210199996,40.758896,-73.98513,40.752655,-73.977295,17.634491954812933,17.82158028017459
2018-09-17,2018,9,2018-09,12:01pm - 6:00pm,BROOKLYN,76,Yes,25-44,M,BLACK,2.0,40.684280802000046,-73.98934395899995,40.758896,-73.98513,40.752655,-73.977295,8.307035028415154,7.6727850927948404
2016-07-05,2016,7,2016-07,6:01pm - 12:00am,BRONX,41,No,25-44,M,BLACK,0.0,40.812519018000046,-73.90281209999995,40.758896,-73.98513,40.752655,-73.977295,9.145340913525326,9.148226885171832
2011-05-18,2011,5,2011-05,6:01pm - 12:00am,BROOKLYN,70,No,25-44,M,BLACK,0.0,40.63963254800007,-73.95476699199997,40.758896,-73.98513,40.752655,-73.977295,13.510495614086365,12.714211766683114
2015-09-12,2015,9,2015-09,12:01am - 6:00am,BROOKLYN,76,No,25-44,M,BLACK,2.0,40.676329829000046,-74.00868157399998,40.758896,-73.98513,40.752655,-73.977295,9.396000844650565,8.892474559136035
2022-02-08,2022,2,2022-02,6:01pm - 12:00am,BROOKLYN,69,No,25-44,M,BLACK,0.0,40.638196,-73.913105,40.758896,-73.98513,40.752655,-73.977295,14.735447534582262,13.834341150096721
2014-05-05,2014,5,2014-05,6:01pm - 12:00am,QUEENS,113,Yes,18-24,M,BLACK,0.0,40.68730824500005,-73.79346701799993,40.758896,-73.98513,40.752655,-73.977295,18.012386443359162,17.116930006556
2013-04-13,2013,4,2013-04,12:01pm - 6:00pm,BRONX,46,No,25-44,M,BLACK,0.0,40.853885193000046,-73.91426343499995,40.758896,-73.98513,40.752655,-73.977295,12.133867182104968,12.44780964029414
2021-01-31,2021,1,2021-01,12:01pm - 6:00pm,BROOKLYN,77,No,25-44,M,BLACK HISPANIC,0.0,40.67185934100007,-73.93779114399997,40.758896,-73.98513,40.752655,-73.977295,10.471460309835086,9.584219945502879
2021-03-07,2021,3,2021-03,6:01am - 12:00pm,BROOKLYN,75,No,25-44,F,WHITE HISPANIC,0.0,40.68225681500007,-73.86933111399996,40.758896,-73.98513,40.752655,-73.977295,12.960102552353785,12.006639300838653
2021-02-12,2021,2,2021-02,12:01am - 6:00am,BRONX,43,No,25-44,M,BLACK,0.0,40.832892539000056,-73.87540977699997,40.758896,-73.98513,40.752655,-73.977295,12.373494376562874,12.379969370674003
2020-08-29,2020,8,2020-08,12:01am - 6:00am,BRONX,40,No,25-44,M,WHITE HISPANIC,2.0,40.81710698900008,-73.90507198099994,40.758896,-73.98513,40.752655,-73.977295,9.347696487036632,9.40171643514381
2021-02-06,2021,2,2021-02,6:01pm - 12:00am,BRONX,45,Yes,18-24,M,BLACK,0.0,40.85271917500006,-73.82760025499994,40.758896,-73.98513,40.752655,-73.977295,16.876416390582968,16.81477105830233
2020-07-01,2020,7,2020-07,12:01am - 6:00am,BRONX,40,No,25-44,F,BLACK,2.0,40.81144667900002,-73.91618508499994,40.758896,-73.98513,40.752655,-73.977295,8.239035113950848,8.32189231549338
2011-11-21,2011,11,2011-11,12:01pm - 6:00pm,BRONX,50,Yes,18-24,M,BLACK,0.0,40.87155193600006,-73.90239927199997,40.758896,-73.98513,40.752655,-73.977295,14.335996524772622,14.651003085447426
