n_estimators,max_depth,min_samples_split,accuracy
100,10,2,0.8937699680511182
100,10,5,0.895367412140575
100,10,10,0.8965654952076677
100,15,2,0.9017571884984026
100,15,5,0.9045527156549521
100,15,10,0.9029552715654952
100,20,2,0.9045527156549521
100,20,5,0.9013578274760383
100,20,10,0.9021565495207667
200,10,2,0.8921725239616614
200,10,5,0.895367412140575
200,10,10,0.8941693290734825
200,15,2,0.9033546325878594
200,15,5,0.9049520766773163
200,15,10,0.9057507987220448
200,20,2,0.902555910543131
200,20,5,0.9037539936102237
200,20,10,0.9033546325878594
300,10,2,0.8925718849840255
300,10,5,0.8949680511182109
300,10,10,0.8957667731629393
300,15,2,0.902555910543131
300,15,5,0.9041533546325878
300,15,10,0.9069488817891374
300,20,2,0.9045527156549521
300,20,5,0.9037539936102237
300,20,10,0.9037539936102237
